s,t
169,355
80,750
176,813
184,362
184,751
87,771
532,778
628,987
129,844
331,821
193,850
752,954
436,786
135,939
250,642
479,948
539,808
250,661
33,677
252,699
427,756
29,729
17,325
111,322
254,522
817,997
21,542
417,808
337,923
229,542
334,586
276,814
479,863
535,842
104,872
45,493
230,973
265,523
189,563
418,819
529,937
131,390
460,677
223,713
124,379
232,909
216,634
146,572
16,450
251,936
7,416
328,566
254,664
45,740
123,761
78,600
184,991
147,533
699,987
256,427
98,842
160,773
100,470
313,491
526,697
467,836
141,848
481,711
224,640
23,729
622,706
127,861
275,677
734,992
62,303
246,663
195,418
397,887
203,869
316,898
296,622
459,979
173,813
25,556
19,394
544,747
240,570
502,839
203,642
287,731
299,751
120,308
414,742
479,893
13,468
321,857
593,997
530,968
68,427
291,889
609,740
305,482
229,737
140,942
64,878
139,832
47,726
227,570
266,968
168,697
36,805
507,741
357,614
424,849
649,970
758,913
108,870
668,876
14,470
385,543
328,796
190,909
22,407
481,797
338,724
188,733
241,628
232,877
236,511
59,272
161,717
138,699
529,938
124,550
239,495
293,846
340,682
176,667
228,896
155,743
525,721
149,415
361,603
36,752
75,359
161,623
270,723
365,747
662,928
550,902
360,518
530,731
101,375
179,798
234,959
406,997
49,472
96,567
192,859
562,883
57,631
122,876
203,990
167,993
564,819
336,887
390,689
295,642
195,603
22,260
331,711
161,784
320,638
376,907
20,529
131,565
280,662
385,895
451,809
279,738
33,411
194,608
102,308
179,625
66,440
368,726
177,600
364,929
434,718
5,490
90,476
16,739
179,370
205,429
343,895
553,1000
704,919
313,434
378,695
83,606
135,633
187,893
259,852
173,596
698,876
322,748
660,883
418,784
108,821
372,916
120,529
498,694
267,750
233,579
656,934
374,840
33,448
508,805
168,559
196,466
174,932
204,548
505,598
275,674
238,753
382,974
215,622
410,863
97,872
289,592
560,862
387,957
397,640
242,974
635,917
256,653
17,400
161,304
567,850
230,652
62,301
246,510
31,765
349,872
95,681
365,497
144,481
344,760
21,577
146,597
431,675
260,797
555,829
68,619
13,826
202,818
628,838
246,803
462,852
159,494
29,447
491,992
364,733
736,974
599,761
28,296
581,979
585,859
224,579
34,636
523,986
281,695
466,967
196,589
464,818
69,630
138,639
48,258
116,811
362,714
75,392
6,423
116,982
190,750
378,612
684,983
797,910
270,575
352,631
360,893
181,370
277,478
491,720
115,804
193,468
321,675
374,679
256,801
305,761
616,858
322,632
168,675
126,457
432,882
185,977
71,519
269,920
5,401
88,750
365,764
739,1000
217,647
360,602
178,903
758,998
306,754
406,835
52,632
23,598
718,905
37,391
310,814
224,735
575,991
32,445
108,283
385,643
217,840
207,529
41,778
26,400
132,625
172,941
496,833
45,363
274,915
197,440
43,556
380,759
320,621
460,945
286,863
249,939
340,795
556,894
316,780
322,820
443,819
363,859
306,803
117,630
88,469
201,740
195,893
527,918
244,404
89,611
10,820
134,988
143,730
108,653
593,866
181,633
111,894
282,741
210,706
83,922
181,702
423,874
296,861
15,665
491,739
219,912
10,558
73,562
784,941
215,752
171,667
7,590
348,620
172,911
301,932
63,587
298,685
178,359
80,704
30,554
124,457
315,662
455,773
677,928
172,605
118,909
605,979
89,911
42,410
401,884
32,325
276,566
89,995
164,804
566,905
48,265
334,962
27,830
387,660
61,569
9,530
135,449
411,851
177,769
556,752
430,781
276,658
209,485
487,911
236,625
32,596
225,999
414,970
225,508
240,876
692,908
249,889
434,754
82,588
168,346
142,525
265,846
406,753
60,427
297,652
348,784
416,550
31,420
76,743
298,585
561,631
848,996
319,697
68,593
442,885
125,783
25,330
524,800
478,966
622,941
1,572
222,533
59,737
2,541
222,711
466,953
666,935
312,613
166,419
95,444
364,837
92,595
490,757
24,648
349,651
146,889
186,800
187,716
26,535
248,728
16,687
646,811
356,941
197,479
214,773
79,236
39,541
103,749
402,758
219,866
350,905
196,928
321,530
225,773
150,696
540,976
186,441
70,616
199,852
34,401
165,504
410,923
442,778
69,439
404,710
537,915
44,762
266,860
231,892
597,865
152,647
197,451
202,673
392,807
551,767
380,982
578,803
328,622
90,775
457,943
255,667
293,650
258,803
250,780
211,877
349,756
254,579
465,832
475,934
263,651
180,491
454,868
110,510
56,707
203,729
136,776
230,662
595,985
169,695
436,793
530,690
68,410
101,375
167,411
536,864
72,664
209,550
336,825
197,732
533,915
201,431
379,915
137,997
353,986
18,760
221,491
298,391
303,946
37,791
299,842
455,956
419,883
520,930
215,603
390,687
424,782
321,518
169,832
31,212
199,574
410,681
304,491
549,921
83,844
441,999
356,932
375,774
273,960
181,963
261,909
300,759
299,815
116,301
165,858
430,582
686,939
292,556
339,606
391,679
474,801
114,346
9,231
490,938
194,526
125,545
351,731
415,569
508,717
85,363
771,896
173,582
301,843
326,807
406,966
139,469
424,892
111,776
622,952
40,724
651,966
166,564
381,691
318,777
60,285
343,938
129,947
419,900
315,473
218,865
334,465
429,953
147,353
660,923
425,769
37,623
247,724
298,639
685,898
455,819
695,958
110,733
507,841
617,972
88,451
83,621
97,859
758,912
552,753
100,491
686,868
328,793
225,880
53,742
609,878
96,659
196,750
607,944
108,402
398,608
55,898
510,917
305,898
328,959
230,688
265,659
64,725
251,561
562,938
202,596
353,723
36,748
248,930
712,967
424,728
175,656
276,535
519,917
24,846
51,501
334,844
106,534
633,983
33,732
678,985
312,794
264,818
116,318
134,360
149,618
561,968
696,934
201,659
437,728
340,950
28,778
721,883
21,641
547,813
480,783
390,717
321,819
310,818
184,809
418,906
83,261
287,813
34,687
65,506
429,914
359,820
405,827
7,505
435,929
83,463
99,695
275,710
23,505
135,263
247,563
503,948
72,382
93,546
353,532
653,885
391,734
117,506
591,806
391,875
166,582
214,402
148,819
146,559
164,348
64,901
327,449
422,936
308,717
132,623
221,877
356,913
261,666
30,639
107,630
718,905
680,962
172,958
190,551
29,363
128,600
588,862
245,569
559,722
249,606
208,596
603,922
62,688
727,991
88,781
426,944
537,774
284,660
492,862
434,762
134,787
123,633
357,919
705,808
340,906
3,814
657,976
538,820
166,632
37,589
484,992
483,743
245,744
12,624
407,787
313,654
112,629
212,932
123,425
394,543
541,871
676,851
259,712
253,524
84,446
13,686
555,925
250,921
336,804
226,845
66,469
263,846
479,954
209,333
773,937
363,612
624,990
475,759
407,715
210,763
877,943
190,443
186,740
264,495
471,731
381,715
460,873
90,703
412,716
284,887
377,959
400,909
228,616
293,554
550,886
133,690
193,604
712,952
203,239
395,813
169,414
135,905
96,580
209,429
226,627
229,570
85,689
347,831
299,454
218,595
647,791
339,988
362,934
183,474
103,586
271,666
28,456
623,841
261,833
98,779
640,848
68,550
276,829
13,832
554,681
433,741
8,396
357,930
122,861
41,565
324,592
133,722
491,948
181,283
380,840
366,995
389,835
225,756
535,810
26,710
438,981
642,915
103,828
684,986
504,816
59,570
83,495
621,795
560,909
293,646
302,413
521,868
588,933
596,694
697,873
1,548
17,441
171,554
59,457
418,783
21,607
103,754
327,827
31,401
575,993
734,936
331,839
430,945
267,694
43,505
184,847
486,967
38,336
61,607
28,672
519,951
240,571
14,616
146,640
301,943
594,861
290,573
618,810
296,527
279,788
353,467
265,675
59,616
127,672
422,901
310,552
178,346
537,996
136,693
113,641
264,807
23,272
214,637
577,640
130,537
98,611
576,781
383,686
194,478
712,974
515,979
219,518
149,492
321,918
298,869
81,730
162,764
322,656
59,894
489,934
57,518
375,794
218,843
110,801
18,855
458,849
274,735
564,989
636,983
98,738
770,944
46,441
257,555
151,853
191,420
79,734
143,874
349,994
352,949
507,761
597,808
109,860
26,731
81,935
394,654
210,607
522,838
366,637
114,347
513,727
452,801
355,913
171,538
418,690
236,768
347,895
153,544
267,974
361,817
126,624
358,619
230,694
11,570
498,977
761,942
337,892
260,804
199,927
394,739
50,870
415,867
30,283
384,596
542,978
383,928
323,804
120,777
393,793
186,551
202,893
289,498
98,607
421,841
269,474
261,506
83,734
182,522
338,659
149,679
99,652
382,784
70,178
535,790
72,948
231,896
151,936
36,785
289,997
645,970
328,854
128,424
56,743
354,591
569,931
258,625
459,820
519,910
311,620
593,976
455,996
26,323
576,922
321,723
21,261
131,585
512,969
3,786
110,464
493,912
635,852
319,923
395,581
233,550
83,525
278,839
158,364
400,915
110,763
86,570
573,994
101,890
448,811
450,954
53,496
76,860
73,253
290,671
218,974
415,576
397,974
147,744
295,525
494,847
240,537
28,613
647,968
529,966
178,384
107,911
453,837
475,978
631,933
336,718
159,498
425,774
52,697
200,587
257,829
2,257
291,634
236,725
58,358
343,924
404,958
544,982
122,446
371,893
77,475
113,786
243,908
329,720
710,950
462,801
236,762
65,217
335,742
400,596
87,492
598,857
80,587
54,787
337,547
352,872
135,375
715,983
1,509
194,464
237,707
588,801
54,555
157,419
507,934
218,532
249,807
427,943
436,979
74,189
126,701
124,675
313,633
803,877
482,708
317,765
44,434
275,910
5,355
349,856
701,992
1,518
116,386
161,590
100,886
146,844
213,688
22,729
561,806
97,315
420,722
273,851
30,434
95,287
53,479
271,865
111,948
198,968
516,894
663,932
601,749
269,631
187,919
584,936
64,438
283,636
98,718
353,944
202,518
153,626
227,680
661,859
531,947
514,955
23,683
665,856
116,874
42,599
508,788
19,296
251,893
729,913
602,825
384,933
684,999
233,570
192,595
263,834
365,887
461,982
105,853
337,605
342,902
535,898
79,769
46,627
13,351
158,409
249,954
220,372
161,773
1,372
714,947
157,745
141,615
445,909
450,795
168,547
312,968
350,749
219,921
56,596
301,976
327,691
201,645
30,617
278,480
77,201
69,417
319,656
611,945
290,917
23,330
45,893
350,831
285,573
349,704
410,693
239,999
355,788
600,803
255,879
49,559
91,598
478,876
26,337
740,903
171,641
162,759
304,950
615,839
109,467
302,578
666,989
273,906
257,834
157,713
301,940
33,530
7,769
453,707
239,584
350,653
182,420
123,470
417,763
34,734
101,693
126,471
13,409
118,445
473,887
554,988
431,958
224,978
359,849
60,212
95,622
509,742
589,919
456,708
444,709
608,822
508,912
204,512
450,860
38,212
26,578
310,953
123,843
422,787
360,828
518,878
140,284
524,818
664,961
764,984
118,716
152,660
279,551
52,210
546,865
463,727
99,772
264,463
6,420
90,453
481,877
219,600
141,314
902,996
34,370
477,825
94,621
21,503
256,597
263,520
9,812
79,572
695,844
244,871
125,686
186,515
125,299
92,401
98,714
548,878
115,837
267,806
63,723
104,612
154,847
352,921
110,591
136,792
699,996
296,715
224,708
144,822
897,965
129,919
146,256
202,874
71,560
451,955
344,770
653,780
347,826
476,747
45,666
335,582
319,892
253,761
261,783
230,415
430,976
591,854
199,636
215,924
118,399
461,854
387,683
737,980
408,682
101,560
312,967
189,414
126,962
123,789
576,883
282,703
303,858
19,754
220,959
401,879
97,485
721,945
546,855
520,798
183,486
220,828
485,817
544,713
712,901
31,686
667,804
293,823
156,904
350,765
372,767
470,656
652,889
301,956
237,740
241,568
446,890
199,617
274,706
254,896
203,989
923,993
185,524
605,831
309,856
209,558
234,558
365,944
246,711
400,880
271,706
247,743
139,767
345,890
335,724
395,817
114,612
576,883
401,866
185,973
181,594
174,891
337,702
19,522
191,522
31,590
20,191
484,775
79,790
363,818
243,624
694,913
292,684
580,943
92,336
330,711
359,486
119,922
130,476
179,465
67,629
5,720
468,975
540,905
253,878
248,721
78,625
480,851
115,729
511,867
762,912
48,231
498,880
103,639
41,476
107,682
337,657
581,927
554,961
96,879
226,672
408,856
155,542
237,710
266,719
78,515
33,687
446,934
276,832
364,740
437,802
298,692
40,577
253,569
37,787
432,726
489,730
91,348
520,966
249,856
663,821
393,475
572,876
403,721
70,671
471,918
572,988
85,608
586,717
489,882
400,561
116,663
425,788
433,530
344,781
432,804
294,710
45,500
154,624
254,765
235,628
159,607
778,998
495,826
772,996
421,773
77,711
455,825
357,856
833,955
315,919
324,909
607,933
322,698
143,861
442,851
248,526
64,389
243,703
63,813
187,306
418,638
725,996
305,639
660,937
422,941
148,655
100,551
498,754
111,694
34,795
71,409
60,488
311,872
748,999
328,800
327,491
372,734
424,722
65,828
85,504
82,671
237,524
251,871
121,712
526,865
499,968
176,866
125,334
512,905
500,945
237,747
138,888
306,754
454,695
67,654
421,933
617,888
503,984
285,823
404,800
330,797
112,596
610,773
310,688
31,236
168,440
153,520
21,742
729,945
515,928
564,634
472,953
538,880
681,985
65,509
87,463
315,808
274,653
293,982
227,587
126,439
185,576
359,984
4,809
232,740
420,632
552,736
386,692
222,548
389,978
231,803
94,615
144,974
209,869
402,613
561,945
250,719
506,965
13,660
332,565
60,845
177,789
84,541
24,251
741,990
281,873
64,332
656,891
330,893
398,634
462,723
157,560
511,696
203,698
32,724
126,477
56,630
10,788
114,340
553,970
448,994
71,609
284,634
150,503
654,857
402,616
103,506
879,978
428,857
127,531
481,791
336,946
312,833
148,546
363,758
439,812
153,513
376,863
131,404
136,788
81,751
556,915
118,746
21,816
483,800
179,569
417,753
437,607
743,950
201,412
54,308
600,974
455,899
245,914
258,712
671,784
521,718
281,462
90,869
232,982
262,675
75,289
451,865
429,622
32,262
134,630
243,606
74,294
311,899
620,946
228,516
144,514
365,743
311,462
865,997
608,730
424,566
191,728
204,450
106,392
220,916
653,710
48,559
620,879
122,630
226,537
103,724
169,928
499,857
23,409
50,500
451,682
220,560
141,884
302,804
25,688
42,460
358,875
101,276
313,611
91,530
155,997
575,914
47,682
662,876
220,828
219,663
55,639
507,924
593,912
138,593
197,429
438,777
134,598
171,932
395,911
363,818
250,957
133,771
566,1000
122,713
596,964
278,622
455,814
156,773
556,769
19,580
329,888
3,268
183,949
543,894
618,991
111,760
544,996
552,821
186,563
378,835
219,343
467,706
103,459
238,651
44,578
307,706
176,861
177,500
272,807
125,501
391,524
588,800
208,811
315,828
53,676
516,911
69,983
294,500
279,725
201,359
295,732
622,880
82,436
373,935
422,562
393,866
568,948
31,823
257,484
262,966
569,812
129,413
256,999
8,92
96,355
137,568
174,797
399,771
271,843
169,763
189,773
39,757
573,811
345,647
296,858
175,779
119,519
492,696
216,882
28,353
110,562
580,909
152,883
573,945
169,830
551,984
390,795
78,771
75,626
184,629
210,853
63,534
143,835
550,902
532,938
50,401
222,706
345,698
582,894
80,390
288,365
84,843
491,765
215,673
98,785
17,262
667,769
116,271
107,873
468,846
581,909
582,932
8,323
306,863
95,847
274,843
424,725
684,869
431,722
330,757
50,242
398,827
427,824
294,552
417,768
232,658
316,907
59,571
292,949
924,995
48,422
38,277
533,851
38,881
354,706
476,848
529,705
37,274
66,275
146,463
326,786
114,549
148,967
296,497
391,967
463,720
109,595
392,621
25,346
49,550
206,838
71,758
55,469
158,888
238,423
326,799
613,980
465,818
522,875
293,665
279,629
39,200
28,434
614,722
139,941
579,911
291,882
255,538
92,767
450,986
255,938
3,362
316,964
39,427
372,848
19,695
334,647
217,495
153,656
712,921
281,578
223,718
511,958
446,973
212,901
212,558
264,456
347,887
615,910
120,693
272,557
445,850
348,509
232,940
28,609
48,141
484,744
222,666
575,753
126,525
528,982
125,702
217,952
289,925
299,632
137,646
120,549
387,763
338,944
209,516
274,716
404,562
73,532
280,970
249,713
302,706
619,913
386,690
57,360
73,376
566,757
429,895
171,829
250,573
201,880
525,941
251,928
314,537
6,411
221,845
202,934
114,500
69,768
142,274
429,579
389,662
767,973
653,854
292,622
329,968
96,835
444,978
512,790
439,954
260,546
65,792
138,537
192,880
518,781
16,401
601,980
575,868
102,739
611,825
414,718
239,607
142,592
257,643
247,455
70,252
181,310
5,333
107,369
38,637
173,403
362,894
192,626
224,913
344,855
690,967
482,894
18,362
210,706
451,780
243,656
223,620
20,253
440,656
143,800
339,602
28,458
170,912
612,995
36,875
238,540
150,501
321,786
151,673
771,933
736,888
177,750
84,380
162,914
118,588
295,866
34,349
271,449
73,500
150,346
247,464
306,647
216,850
340,649
877,989
292,813
68,425
776,862
94,743
160,705
323,765
316,777
343,986
15,535
549,769
47,709
579,848
139,550
246,480
366,625
410,773
537,992
70,468
407,740
477,964
270,996
542,867
89,786
617,814
224,939
278,911
380,651
179,595
581,996
184,799
673,820
195,943
103,508
344,660
7,836
334,940
787,940
95,594
42,418
92,684
309,862
180,405
3,316
5,565
531,708
81,842
679,912
608,920
145,894
369,861
56,373
323,795
367,883
308,984
343,817
625,948
221,788
105,660
10,936
413,848
202,681
15,689
99,500
590,800
58,392
75,382
190,740
269,851
545,802
24,653
177,628
518,1000
292,485
145,700
631,911
169,952
13,325
165,489
752,975
101,404
68,596
231,843
361,974
789,958
215,495
211,747
115,625
531,932
603,965
165,441
645,889
823,970
196,866
540,851
316,769
84,849
718,976
239,715
2,842
110,780
314,721
151,619
447,905
43,639
385,949
769,950
360,865
469,915
169,727
226,640
151,685
4,671
525,959
35,333
185,348
421,949
254,834
110,505
554,859
318,800
358,946
26,695
1,719
389,954
1,409
90,551
70,753
307,619
380,850
446,784
73,689
604,912
38,477
91,558
144,404
108,624
250,507
612,910
95,529
188,805
428,796
406,777
12,498
6,792
325,841
46,515
217,618
37,366
232,855
56,301
120,479
217,372
95,415
294,565
281,711
99,629
411,932
32,533
266,766
8,402
379,828
385,882
302,740
450,748
21,232
113,574
186,956
563,997
164,754
281,771
624,946
686,807
200,513
60,363
140,917
172,482
353,961
206,666
473,883
133,493
434,967
483,815
149,493
233,781
313,802
201,885
208,665
151,840
257,804
185,674
345,932
521,846
201,857
591,780
532,955
228,624
88,851
124,611
315,539
187,990
611,975
107,673
179,844
20,555
67,692
254,715
230,679
578,912
459,766
326,817
50,400
94,531
161,629
316,652
299,723
104,325
508,730
3,181
174,558
151,700
127,571
634,786
577,854
338,975
249,574
363,562
197,521
457,906
531,936
394,732
230,870
298,736
420,568
79,617
140,380
60,470
282,648
98,685
410,582
317,583
407,835
35,966
96,472
94,259
167,589
218,838
379,904
96,214
125,882
456,941
292,904
352,911
308,737
541,939
91,639
384,850
4,382
7,781
308,638
255,590
446,755
341,602
254,738
595,730
141,629
132,431
225,795
290,588
697,890
561,768
297,779
594,839
310,810
456,982
22,265
215,607
198,791
351,680
251,688
192,763
93,649
101,353
139,867
83,489
357,719
216,793
83,637
8,296
375,712
297,901
58,617
172,999
386,882
614,803
207,832
282,736
353,771
517,958
373,638
486,750
408,867
291,993
470,975
276,869
88,377
216,907
500,754
711,957
13,383
801,962
223,931
331,870
148,413
81,535
480,822
170,915
374,892
282,488
715,975
572,947
107,555
219,815
31,848
611,777
98,470
92,626
249,836
205,978
442,810
282,672
189,806
424,874
362,612
516,814
129,674
249,775
351,863
302,455
257,691
108,779
332,538
277,352
236,479
273,780
564,972
267,950
120,494
617,881
420,875
93,785
666,918
116,608
211,325
395,856
57,359
594,915
436,808
181,728
603,870
74,597
265,658
360,557
441,827
141,920
211,826
307,900
337,688
333,535
447,852
232,673
27,686
563,725
482,995
484,940
99,422
13,524
77,966
19,628
70,681
96,617
92,493
23,642
42,307
604,812
140,542
124,505
362,961
313,909
21,367
508,999
244,513
268,687
101,476
127,569
136,499
175,466
335,848
135,206
532,887
39,773
197,646
365,961
526,973
13,655
462,695
553,993
372,876
309,455
489,981
257,580
320,849
110,815
300,748
227,366
336,565
81,651
26,739
553,980
468,826
140,633
329,1000
292,859
296,730
632,952
366,879
341,636
96,616
253,518
150,692
649,816
142,838
12,314
357,861
384,672
694,884
277,656
591,900
653,881
296,746
459,956
280,577
146,478
444,948
588,950
401,783
362,922
673,809
172,780
155,874
298,782
308,863
298,834
220,714
519,808
79,619
304,597
276,906
418,685
148,235
28,519
155,524
558,940
480,946
679,996
3,617
542,722
78,850
648,883
302,415
650,875
567,959
604,835
368,610
290,750
201,466
313,789
529,770
149,636
57,678
222,844
11,617
125,684
22,795
162,687
194,890
344,502
225,464
255,775
71,765
227,732
220,714
492,855
32,227
30,430
194,873
145,539
716,997
618,816
370,878
42,403
198,322
605,867
199,873
417,660
26,559
655,967
64,471
427,878
187,705
469,697
285,488
342,833
380,763
619,920
52,497
569,833
187,806
485,863
236,628
299,585
187,961
149,522
99,538
377,939
110,552
272,632
163,459
603,979
351,851
344,983
110,624
315,548
412,582
139,496
397,845
19,575
604,913
73,418
187,620
262,539
107,748
449,807
63,366
125,780
287,579
149,320
231,759
201,859
419,745
267,723
497,957
88,367
238,747
258,728
359,844
47,479
467,786
235,789
40,761
475,772
92,273
595,888
537,739
296,780
513,752
502,883
809,994
9,505
124,709
79,499
288,764
322,970
193,816
269,623
599,810
132,321
126,808
21,469
385,649
429,730
472,746
579,973
318,652
708,880
35,266
64,613
61,943
203,675
202,497
6,473
605,942
335,894
254,635
258,446
476,624
247,824
197,785
75,235
311,923
369,625
357,838
214,878
256,570
171,880
250,770
332,635
3,490
329,553
112,568
426,628
51,451
64,471
50,574
389,612
135,540
305,654
177,385
581,866
309,629
219,851
608,841
242,769
142,673
106,824
52,614
179,703
350,965
163,742
458,853
52,621
351,563
223,599
62,837
486,826
524,908
423,869
224,878
11,458
494,730
493,794
498,888
259,688
151,671
337,555
537,767
358,683
267,504
827,998
291,777
5,448
31,547
139,717
131,846
281,930
22,380
310,566
108,604
175,702
187,988
31,309
338,613
257,653
400,855
663,831
450,943
390,614
124,814
647,987
635,824
297,722
642,960
598,985
301,541
702,993
511,751
83,766
28,516
302,705
156,567
413,672
31,575
312,815
290,484
171,751
144,570
75,866
209,728
265,759
52,810
69,863
55,766
641,847
7,784
129,406
161,775
356,764
590,960
102,238
66,388
492,970
530,836
178,856
202,796
483,731
327,744
159,787
538,915
489,832
537,725
167,809
386,751
344,643
165,354
432,949
287,602
25,566
282,499
82,688
59,366
723,990
155,441
123,438
210,548
155,341
385,723
595,867
84,485
324,578
387,900
320,961
468,697
189,675
175,739
431,853
215,894
551,801
108,422
45,667
23,581
596,880
243,719
76,345
27,452
506,737
386,827
62,817
589,873
438,564
186,343
160,409
437,737
242,417
540,873
455,715
796,931
280,480
97,625
219,932
73,625
430,686
483,922
651,852
256,809
587,834
279,685
133,457
638,933
396,947
313,434
280,502
152,616
184,490
362,777
20,498
230,515
159,527
257,554
323,710
292,762
14,502
322,453
413,873
53,796
208,533
90,726
193,639
3,617
39,429
275,613
372,895
284,879
7,397
33,469
235,587
105,641
346,503
210,897
66,397
3,879
247,672
115,513
32,638
390,904
317,769
112,449
335,478
761,1001
575,902
219,408
468,952
316,761
40,896
732,866
558,809
288,691
220,654
289,555
193,357
201,577
457,785
183,451
390,638
481,987
522,644
215,943
374,998
143,515
439,947
31,192
356,809
807,990
100,497
120,980
503,888
65,489
245,725
207,578
177,538
600,880
60,445
698,992
303,486
243,546
268,553
457,670
480,933
16,464
367,908
409,845
314,592
652,960
127,457
122,859
184,553
121,590
477,932
256,618
36,631
536,860
677,963
42,462
148,360
189,384
372,750
110,299
265,980
124,367
102,401
497,838
296,899
319,874
496,844
319,897
443,873
377,759
490,859
549,914
336,834
749,957
5,618
456,738
68,554
333,821
204,731
487,618
812,999
88,833
499,840
318,772
384,756
423,647
209,410
254,629
370,828
306,787
26,665
328,478
371,446
145,686
165,986
226,913
383,890
301,661
239,631
395,891
331,677
439,890
284,941
227,677
89,564
201,678
118,430
405,935
510,781
231,519
5,315
321,854
227,492
497,912
233,925
149,642
173,756
182,649
251,718
460,976
436,856
553,851
94,384
265,828
772,938
189,748
332,660
450,868
30,416
369,944
374,957
32,574
443,979
138,827
512,972
20,428
657,993
123,776
553,672
318,750
329,548
278,720
186,811
48,411
371,910
162,797
506,678
134,841
403,767
31,263
434,609
291,722
89,926
133,793
476,946
60,613
138,695
289,531
65,455
189,681
546,987
373,642
297,734
381,977
180,867
207,934
361,833
213,683
218,847
317,724
686,905
209,829
299,565
284,624
113,374
501,879
455,960
278,913
696,996
504,962
755,953
725,816
463,860
363,812
128,581
145,692
159,768
402,836
789,864
782,901
250,503
284,649
315,940
336,498
481,851
50,827
451,625
61,629
239,591
407,990
171,560
381,898
483,688
446,897
322,795
497,864
390,574
123,378
271,649
63,675
565,828
675,891
675,968
45,828
311,596
229,581
214,575
87,330
673,873
668,999
77,593
435,654
348,677
36,360
450,680
458,885
364,570
57,548
53,481
619,884
595,959
169,534
190,815
397,706
209,674
48,597
435,988
593,926
314,641
511,886
652,856
143,431
227,413
325,676
352,730
38,613
462,761
416,996
277,570
110,492
191,569
661,989
712,917
459,711
242,741
536,809
183,492
276,688
169,365
580,976
128,585
472,925
304,909
373,985
612,788
139,562
627,927
677,947
13,506
104,710
680,939
206,709
337,741
245,696
421,619
572,974
122,914
496,786
100,420
181,709
308,790
420,869
449,788
245,595
150,463
100,809
560,913
11,332
101,829
37,664
688,871
202,817
363,798
185,376
149,435
705,990
608,800
55,523
260,444
130,831
720,992
381,887
80,351
476,887
323,864
576,698
154,327
306,833
396,603
189,432
9,322
491,991
369,838
192,886
4,558
99,588
125,884
284,622
180,621
7,334
457,902
672,852
252,763
270,696
589,984
454,854
163,590
10,729
330,665
210,734
20,553
246,573
506,871
176,761
45,688
272,527
779,938
152,710
555,791
284,661
18,716
241,723
54,597
536,828
621,810
487,872
73,628
12,553
59,723
308,741
43,532
135,746
47,684
217,615
291,736
617,910
251,646
247,518
399,971
216,551
339,952
475,903
525,874
190,764
171,608
33,268
18,771
513,641
225,959
214,686
240,828
420,998
202,790
395,863
269,918
35,449
414,652
519,753
81,621
365,836
87,320
572,940
247,971
480,847
826,992
367,654
402,966
495,876
78,523
261,844
643,903
316,968
84,405
459,942
757,858
319,934
441,772
139,620
355,485
247,816
210,716
413,798
140,907
298,931
43,533
2,336
92,491
131,530
219,707
369,965
457,927
220,895
303,804
218,687
165,862
269,655
156,452
816,938
161,654
308,846
236,657
552,844
435,817
356,814
219,824
414,955
90,664
156,540
136,617
197,796
508,806
66,443
46,591
69,568
160,672
202,870
228,899
266,627
300,793
83,370
111,695
388,606
214,980
374,911
322,651
165,574
333,763
488,989
350,643
39,332
245,791
453,694
90,791
242,724
228,810
193,480
109,305
554,992
600,838
298,935
107,732
284,946
230,621
463,760
106,452
248,740
44,814
536,788
707,857
115,475
46,728
384,748
353,948
413,722
27,879
325,790
552,970
123,600
291,861
428,890
144,534
161,769
468,888
346,914
84,486
79,520
795,962
167,864
96,499
314,945
175,809
619,859
572,884
30,315
113,555
110,844
401,691
279,641
235,627
289,589
341,913
495,945
667,956
33,546
98,235
153,697
450,689
404,940
161,583
402,766
229,941
325,787
231,640
582,809
422,914
199,805
365,850
523,862
88,768
311,486
671,887
137,637
224,696
499,759
157,478
168,501
173,486
729,824
170,959
499,920
377,738
604,898
407,805
211,861
268,875
457,569
132,775
562,829
150,307
634,936
9,403
113,211
423,782
328,567
38,467
188,890
184,642
312,737
685,926
183,886
435,956
35,213
320,868
121,796
41,379
435,778
518,841
251,740
79,754
96,573
248,674
439,512
277,991
387,801
520,839
378,488
4,668
288,573
185,617
172,616
468,998
76,360
166,813
544,826
251,727
477,910
394,919
75,441
588,751
531,959
4,722
88,307
60,269
341,450
55,627
325,740
174,791
622,865
137,704
79,242
10,788
132,460
147,491
174,711
637,967
298,825
354,888
385,570
197,681
189,642
27,479
195,969
83,798
96,682
220,942
124,770
224,793
452,738
577,909
225,628
20,446
95,928
593,753
303,513
665,957
39,425
295,451
206,585
163,867
299,970
359,637
232,665
9,392
443,643
2,798
193,801
92,852
206,505
395,591
35,217
655,844
605,960
82,324
684,998
204,765
302,659
218,572
848,925
13,185
473,745
173,555
611,830
436,795
149,811
177,773
254,416
651,921
17,384
305,752
255,379
547,682
147,972
651,947
201,766
817,985
86,610
273,393
40,658
179,842
686,811
169,614
126,376
555,794
228,752
236,989
136,514
250,508
155,563
431,772
462,947
397,868
330,783
586,893
520,976
226,382
313,603
729,925
526,925
411,628
561,917
165,670
671,964
144,574
253,711
798,971
412,758
315,994
719,970
564,948
411,692
327,895
448,833
540,778
39,337
704,860
9,666
322,561
657,925
308,850
489,1000
481,955
88,445
202,529
46,921
482,900
621,703
67,773
16,320
771,961
292,518
677,962
365,997
48,490
102,673
9,295
122,670
416,832
361,885
106,357
402,864
610,691
207,432
297,971
69,290
431,843
11,584
630,995
187,614
119,475
